ID	Name	Price	Amount	Time First	Time All	Resource	Industry										
27	Potatoes	3	1	0,0,0,10	0,0,0,5	Industrial_Crops	Crops_Farming										
28	Beets	3	1	0,0,0,10	0,0,0,5	Industrial_Crops	Crops_Farming										
29	Cane	3	1	0,0,0,10	0,0,0,5	Industrial_Crops	Crops_Farming										
30	Sea_Fish	2	1	0,0,0,10	0,0,0,5	Fish	Animal_Farming										
31	Fresh-Water_Fish	2	1	0,0,0,10	0,0,0,5	Fish	Animal_Farming										
32	Coke	2	1	0,0,0,10	0,0,0,5	Black_Coal	Coal_Industry										
33	Steel	5	1	0,0,0,10	0,0,0,5	Iron	Black_Metallurgy										
34	Pipes	5	1	0,0,0,10	0,0,0,5	Iron	Black_Metallurgy										
35	Pipes	5	1	0,0,0,10	0,0,0,5	Nickel	Color_Metallurgy										
36	Pipes	5	1	0,0,0,10	0,0,0,5	Copper	Color_Metallurgy										
37	Pipes	5	1	0,0,0,10	0,0,0,5	Tin	Color_Metallurgy										
38	Rolled_Metal	5	1	0,0,0,10	0,0,0,5	Iron	Black_Metallurgy										
39	Rolled_Metal	5	1	0,0,0,10	0,0,0,5	Nickel	Color_Metallurgy										
40	Frames	5	1	0,0,0,10	0,0,0,5	Iron	Black_Metallurgy										
41	Instrument_Parts	5	1	0,0,0,10	0,0,0,5	Iron	Black_Metallurgy										
42	Instrument_Parts	5	1	0,0,0,10	0,0,0,5	Copper	Color_Metallurgy										
43	Car_Parts	5	1	0,0,0,10	0,0,0,5	Iron	Black_Metallurgy										
44	Car_Parts	5	1	0,0,0,10	0,0,0,5	Titan	Color_Metallurgy										
45	Car_Parts	5	1	0,0,0,10	0,0,0,5	Wolfram	Color_Metallurgy										
46	Car_Parts	5	1	0,0,0,10	0,0,0,5	Nickel	Color_Metallurgy										
47	Car_Parts	5	1	0,0,0,10	0,0,0,5	Graphite	Chemical_Industry										
48	Furnaces	5	1	0,0,0,10	0,0,0,5	Iron	Black_Metallurgy										
49	Rails	5	1	0,0,0,10	0,0,0,5	Chromium	Black_Metallurgy										
50	Aircraft_Parts	6	1	0,0,0,10	0,0,0,5	Chromium	Black_Metallurgy										
51	Aircraft_Parts	6	1	0,0,0,10	0,0,0,5	Titan	Color_Metallurgy										
52	Aircraft_Parts	6	1	0,0,0,10	0,0,0,5	Wolfram	Color_Metallurgy										
53	Electronics	6	1	0,0,0,10	0,0,0,5	Manganese	Black_Metallurgy										
54	Electronics	6	1	0,0,0,10	0,0,0,5	Copper	Color_Metallurgy										
55	Electronics	6	1	0,0,0,10	0,0,0,5	Silver	Color_Metallurgy										
56	Electronics	6	1	0,0,0,10	0,0,0,5	Mercury	Color_Metallurgy										
57	Electronics	6	1	0,0,0,10	0,0,0,5	Lead	Color_Metallurgy										
58	Electronics	6	1	0,0,0,10	0,0,0,5	Gold	Color_Metallurgy										
59	Armor	3	1	0,0,0,10	0,0,0,5	Titan	Color_Metallurgy										
60	Armor	3	1	0,0,0,10	0,0,0,5	Wolfram	Color_Metallurgy										
61	Armor	3	1	0,0,0,10	0,0,0,5	Uranium	Uranium_Industry										
62	Reactor_Parts	7	1	0,0,0,10	0,0,0,5	Titan	Color_Metallurgy										
63	Reactor_Parts	7	1	0,0,0,10	0,0,0,5	Graphite	Chemical_Industry										
64	Seacraft_Parts	6	1	0,0,0,10	0,0,0,5	Mercury	Color_Metallurgy										
65	Seacraft_Parts	6	1	0,0,0,10	0,0,0,5	Titan	Color_Metallurgy										
66	Light	4	1	0,0,0,10	0,0,0,5	Wolfram	Color_Metallurgy										
67	Wires	3	1	0,0,0,10	0,0,0,5	Nickel	Color_Metallurgy										
68	Wires	3	1	0,0,0,10	0,0,0,5	Copper	Color_Metallurgy										
69	Medical_Equipment	7	1	0,0,0,10	0,0,0,5	Nickel	Color_Metallurgy										
70	Medical_Equipment	7	1	0,0,0,10	0,0,0,5	Silver	Color_Metallurgy										
71	Medical_Equipment	7	1	0,0,0,10	0,0,0,5	Mercury	Color_Metallurgy										
72	Medical_Equipment	7	1	0,0,0,10	0,0,0,5	Sulfur	Chemical_Industry										
73	Decorations	4	1	0,0,0,10	0,0,0,5	Aluminium	Color_Metallurgy										
74	Decorations	4	1	0,0,0,10	0,0,0,5	Tin	Color_Metallurgy										
75	Mirrors	4	1	0,0,0,10	0,0,0,5	Aluminium	Color_Metallurgy										
76	Jewelry	7	1	0,0,0,10	0,0,0,5	Aluminium	Color_Metallurgy										
77	Jewelry	7	1	0,0,0,10	0,0,0,5	Silver	Color_Metallurgy										
78	Jewelry	7	1	0,0,0,10	0,0,0,5	Gold	Color_Metallurgy										
79	Dishes	3	1	0,0,0,10	0,0,0,5	Aluminium	Color_Metallurgy										
80	Dishes	3	1	0,0,0,10	0,0,0,5	Silver	Color_Metallurgy										
81	Dishes	3	1	0,0,0,10	0,0,0,5	Tin	Color_Metallurgy										
82	Bycicles	4	1	0,0,0,10	0,0,0,5	Aluminium	Color_Metallurgy										
83	Equipment	4	1	0,0,0,10	0,0,0,5	Aluminium	Color_Metallurgy										
84	Glasses	2	1	0,0,0,10	0,0,0,5	Aluminium	Color_Metallurgy										
85	Money	2	1	0,0,0,10	0,0,0,5	Copper	Color_Metallurgy										
86	Money	2	1	0,0,0,10	0,0,0,5	Silver	Color_Metallurgy										
87	Money	2	1	0,0,0,10	0,0,0,5	Gold	Color_Metallurgy										
88	Batteries	4	1	0,0,0,10	0,0,0,5	Silver	Color_Metallurgy										
89	Batteries	4	1	0,0,0,10	0,0,0,5	Lead	Color_Metallurgy										
90	Pyrotech	4	1	0,0,0,10	0,0,0,5	Mercury	Color_Metallurgy										
91	Paints	3	1	0,0,0,10	0,0,0,5	Mercury	Color_Metallurgy										
92	Paints	3	1	0,0,0,10	0,0,0,5	Salt	Chemical_Industry										
93	Bullets	5	1	0,0,0,10	0,0,0,5	Lead	Color_Metallurgy										
94	Reactor_Cores	7	1	0,0,0,10	0,0,0,5	Uranium	Uranium_Industry										
95	Nuclear_Weapons	8	1	0,0,0,10	0,0,0,5	Uranium	Uranium_Industry										
96	Building_Materials	5	1	0,0,0,10	0,0,0,5	Graphite	Chemical_Industry										
97	Building_Materials	5	1	0,0,0,10	0,0,0,5	Sulfur	Chemical_Industry										
98	Stationery	6	1	0,0,0,10	0,0,0,5	Graphite	Chemical_Industry										
99	Explosives	5	1	0,0,0,10	0,0,0,5	Phosphorus	Chemical_Industry										
100	Explosives	5	1	0,0,0,10	0,0,0,5	Saltpeter	Chemical_Industry										
101	Kerosene	4	1	0,0,0,10	0,0,0,5	Oil	Oil_Industry										
102	Mazut	4	1	0,0,0,10	0,0,0,5	Oil	Oil_Industry										
103	Fuel	1	1	0,0,0,10	0,0,0,5	Black_Coal	Coal_Industry										
104	Fuel	1	1	0,0,0,10	0,0,0,5	Brown_Coal	Coal_Industry										
105	Fuel	5	1	0,0,0,10	0,0,0,5	Oil	Oil_Industry										
106	Fuel	2	1	0,0,0,10	0,0,0,5	Gas	Gas_Industry										
107	Fuel	6	1	0,0,0,10	0,0,0,5	Phosphorus	Chemical_Industry										
108	Fertilizers	3	1	0,0,0,10	0,0,0,5	Phosphorus	Chemical_Industry										
109	Fertilizers	3	1	0,0,0,10	0,0,0,5	Saltpeter	Chemical_Industry										
110	Pesticides	3	1	0,0,0,10	0,0,0,5	Sulfur	Chemical_Industry										
111	Preservatives	3	1	0,0,0,10	0,0,0,5	Saltpeter	Chemical_Industry										
112	Table_Salt	2	1	0,0,0,10	0,0,0,5	Salt	Chemical_Industry										
113	Plastic	3	1	0,0,0,10	0,0,0,5	Gas	Gas_Industry										
114	Plastic	3	1	0,0,0,10	0,0,0,5	Salt	Chemical_Industry										
115	Soap	3	1	0,0,0,10	0,0,0,5	Salt	Chemical_Industry										
116	Household_Chemicals	3	1	0,0,0,10	0,0,0,5	Salt	Chemical_Industry										
117	Building_Constructions	5	1	0,0,0,10	0,0,0,5		Metalwork										
118	Fasteners	4	1	0,0,0,10	0,0,0,5		Metalwork										
119	Accessories	4	1	0,0,0,10	0,0,0,5		Metalwork										
120	Complex_Machines	6	1	0,0,0,10	0,0,0,5		Heavy_Machinery										
121	Complex_Equipment	6	1	0,0,0,10	0,0,0,5		Heavy_Machinery										
122	Engines	6	1	0,0,0,10	0,0,0,5		Heavy_Machinery										
123	Excavators	6	1	0,0,0,10	0,0,0,5		Heavy_Machinery										
124	Machines	6	1	0,0,0,10	0,0,0,5		Heavy_Machinery										
125	Presses	7	1	0,0,0,10	0,0,0,5		Heavy_Machinery										
126	Turbines	6	1	0,0,0,10	0,0,0,5		Heavy_Machinery										
127	Generators	6	1	0,0,0,10	0,0,0,5		Heavy_Machinery										
128	Semiconductors	5	1	0,0,0,10	0,0,0,5		Electronic_Machinery										
129	Resistors	5	1	0,0,0,10	0,0,0,5		Electronic_Machinery										
130	Capacitors	5	1	0,0,0,10	0,0,0,5		Electronic_Machinery										
131	Electronic_Tools	5	1	0,0,0,10	0,0,0,5		Electronic_Machinery										
132	Locomotives	6	1	0,0,0,10	0,0,0,5		Railway_Machinery										
133	Carriages	6	1	0,0,0,10	0,0,0,5		Railway_Machinery										
134	Wheels	4	1	0,0,0,10	0,0,0,5		Railway_Machinery										
135	Boats	6	1	0,0,0,10	0,0,0,5		Sea_Machinery										
136	Ships	6	1	0,0,0,10	0,0,0,5		Sea_Machinery										
137	Tugs	6	1	0,0,0,10	0,0,0,5		Sea_Machinery										
138	Rafts	6	1	0,0,0,10	0,0,0,5		Sea_Machinery										
139	Surf_Boards	3	1	0,0,0,10	0,0,0,5		Sea_Machinery										
140	Passenger_Airplanes	6	1	0,0,0,10	0,0,0,5		Air_Machinery										
141	Cargo_Airplanes	6	1	0,0,0,10	0,0,0,5		Air_Machinery										
142	Military_Airplanes	7	1	0,0,0,10	0,0,0,5		Air_Machinery										
143	Helicopters	6	1	0,0,0,10	0,0,0,5		Air_Machinery										
144	Tractors	5	1	0,0,0,10	0,0,0,5		Farming_Machinery										
145	Grain_Elevators	4	1	0,0,0,10	0,0,0,5		Farming_Machinery										
146	Sheds	4	1	0,0,0,10	0,0,0,5		Farming_Machinery										
147	Harvesters	5	1	0,0,0,10	0,0,0,5		Farming_Machinery										
148	Cars	4	1	0,0,0,10	0,0,0,5		Car_Machinery										
149	Bikes	3	1	0,0,0,10	0,0,0,5		Car_Machinery										
150	Tires	3	1	0,0,0,10	0,0,0,5		Car_Machinery										
151	Trucks	5	1	0,0,0,10	0,0,0,5		Car_Machinery										
152	Buses	5	1	0,0,0,10	0,0,0,5		Car_Machinery										
153	Radio_Devices	5	1	0,0,0,10	0,0,0,5		Instrument_Machinery										
154	Complex_Electronics	6	1	0,0,0,10	0,0,0,5		Instrument_Machinery										
155	Optical_Devices	5	1	0,0,0,10	0,0,0,5		Instrument_Machinery										
156	Navigators	4	1	0,0,0,10	0,0,0,5		Instrument_Machinery										
157	Meters	3	1	0,0,0,10	0,0,0,5		Instrument_Machinery										
158	Transformers	4	1	0,0,0,10	0,0,0,5		Instrument_Machinery										
159	Computers	6	1	0,0,0,10	0,0,0,5		Instrument_Machinery										
160	Cameras	5	1	0,0,0,10	0,0,0,5		Instrument_Machinery										
161	Appliances	3	1	0,0,0,10	0,0,0,5		Instrument_Machinery										
162	Clothing	2	1	0,0,0,10	0,0,0,5		Light_Industry										
163	Shoes	2	1	0,0,0,10	0,0,0,5		Light_Industry										
164	Knitwear	3	1	0,0,0,10	0,0,0,5		Light_Industry										
165	Textile	3	1	0,0,0,10	0,0,0,5		Light_Industry										
166	Faux_Leather	4	1	0,0,0,10	0,0,0,5		Light_Industry										
167	Haberdashery	4	1	0,0,0,10	0,0,0,5		Light_Industry										
168	Canned_Food	5	1	0,0,0,10	0,0,0,5		Food_Industry_Crops										
169	Canned_Food	5	1	0,0,0,10	0,0,0,5		Food_Industry_Meat										
170	Sliced_Food	4	1	0,0,0,10	0,0,0,5		Food_Industry_Crops										
171	Bread	4	1	0,0,0,10	0,0,0,5		Food_Industry_Crops										
172	Juices	2	1	0,0,0,10	0,0,0,5		Food_Industry_Crops										
173	Flour	2	1	0,0,0,10	0,0,0,5		Food_Industry_Crops										
174	Farina	3	1	0,0,0,10	0,0,0,5		Food_Industry_Crops										
175	Syrups	3	1	0,0,0,10	0,0,0,5		Food_Industry_Crops										
176	Sugar	2	1	0,0,0,10	0,0,0,5		Food_Industry_Crops										
177	Candy	3	1	0,0,0,10	0,0,0,5		Food_Industry_Crops										
178	Pasta	4	1	0,0,0,10	0,0,0,5		Food_Industry_Crops										
179	Animal_Food	4	1	0,0,0,10	0,0,0,5		Food_Industry_Crops										
180	Animal_Food	4	1	0,0,0,10	0,0,0,5		Food_Industry_Meat										
181	Saucages	4	1	0,0,0,10	0,0,0,5		Food_Industry_Meat										
182	Smoked_Meats	5	1	0,0,0,10	0,0,0,5		Food_Industry_Meat										
183	Gelatin	3	1	0,0,0,10	0,0,0,5		Food_Industry_Meat										
184	Glue	4	1	0,0,0,10	0,0,0,5		Food_Industry_Meat										
185	Cheese	4	1	0,0,0,10	0,0,0,5		Food_Industry_Meat										
186	Butter	3	1	0,0,0,10	0,0,0,5		Food_Industry_Meat										
187	Ice-cream	3	1	0,0,0,10	0,0,0,5		Food_Industry_Meat										
188	Sour_Cream	3	1	0,0,0,10	0,0,0,5		Food_Industry_Meat										
189	Radioactive_Waste	10	1	0,0,0,10	0,0,0,5		Atomic_Energy										
190	Electricity	5	1	0,0,0,10	0,0,0,5		Thermal_Energy										
191	Electricity	2	1	0,0,0,10	0,0,0,5		Water_Energy										
192	Electricity	4	1	0,0,0,10	0,0,0,5		Atomic_Energy										
193	Pistols	6	1	0,0,0,10	0,0,0,5		Military_Infantry										
194	Rifles	6	1	0,0,0,10	0,0,0,5		Military_Infantry										
195	Rocket_Launchers	6	1	0,0,0,10	0,0,0,5		Military_Infantry										
196	Mortars	6	1	0,0,0,10	0,0,0,5		Military_Infantry										
197	Hand_Grenades	6	1	0,0,0,10	0,0,0,5		Military_Infantry										
198	Cartriges	6	1	0,0,0,10	0,0,0,5		Military_Infantry										
199	Body_Armor	5	1	0,0,0,10	0,0,0,5		Military_Infantry										
200	Tanks	7	1	0,0,0,10	0,0,0,5		Military_Ground										
201	Artillery_Systems	7	1	0,0,0,10	0,0,0,5		Military_Ground										
202	Mines	6	1	0,0,0,10	0,0,0,5		Military_Ground										
203	Multiple_Rocket_Launchers	7	1	0,0,0,10	0,0,0,5		Military_Ground										
204	Armored_Vehicles	7	1	0,0,0,10	0,0,0,5		Military_Ground										
205	Anti_Aircraft_Systems	7	1	0,0,0,10	0,0,0,5		Military_Ground										
206	Torpedoes	8	1	0,0,0,10	0,0,0,5		Military_Sea										
207	Underwater_Drones	8	1	0,0,0,10	0,0,0,5		Military_Sea										
208	Water_Drones	6	1	0,0,0,10	0,0,0,5		Military_Sea										
209	Ship_Weapons	7	1	0,0,0,10	0,0,0,5		Military_Sea										
210	Airplane_Weapons	7	1	0,0,0,10	0,0,0,5		Military_Air										
211	Cruise_Missiles	7	1	0,0,0,10	0,0,0,5		Military_Air										
212	Ballistic_Missiles	7	1	0,0,0,10	0,0,0,5		Military_Air										
